id;date;exercise;meals;alcohol;notes
1;2017-07-24;6198;38418;57707;withdrawal Bedfordshire Analyst
2;2017-07-24;2388;1106;9423;Account Garden New
3;2017-07-24;76967;8783;81008;e-business override bandwidth
4;2017-07-24;14053;35227;55062;dynamic Concrete
5;2017-07-24;3838;53842;86262;Drive Research
6;2017-07-24;88201;96453;19830;XSS
7;2017-07-24;45449;51221;53191;interfaces Frozen
8;2017-07-24;98590;58178;44831;program payment
9;2017-07-24;45405;85555;60037;transparent green robust
10;2017-07-24;9401;94414;46576;seize synthesize
